l’âge,de leeftijd
Waar houden jullie van?,Qu’est-ce que vous aimez?
Waar houdt u van?,Qu’est-ce que vous aimez?
Waar houden zij van?,Qu’est-ce qu’ils aiment?
Ik houd van sport.,J’aime le sport
"Ik houd van voetbal, rugby, tennis.","J'aime le foot, le rugby, le tennis."
Ik houd van basketbal.,J'aime le basket.
"Ik houd van tekenen, toneel.","J'aime le dessin, le théâtre."
Ik houd van tenniswedstrijden.,J'aime les matchs de tennis.
Ik houd van videospelletjes.,J'aime les jeux vidéo.
Houd je van popmuziek?,Tu aimes la musique pop?
Houden jullie van zwemmen?,Vous aimez la natation?
"Ja, ik houd van popmuziek.","Oui, j’aime la musique pop."
"Ja, wij houden van zwemmen.","Oui, nous aimons la natation."
Ik heb een hekel aan voetbal.,Je déteste le foot.
Ik houd van dansen.,J’aime la danse.
Ik heb liever rugby.,"Moi, je préfère le rugby."
voyager,reizen
le bénévole,de vrijwilliger
la bénévole,de vrijwilligster
le club d’échecs,de schaakclub
écrire des poèmes,gedichten schrijven
ma casquette,mijn petje / mijn pet
ma trousse de toilette,mijn toilettas
des chaussettes,sokken
un rendez-vous,een afspraak / een afspraakje
son meilleur copain,zijn beste vriend
la mamie-gâteau,de suikeroma / de lievelingsoma
Tu viens avec moi?,Kom je met me mee? / Kom jij met me mee? / Kom jij met mij mee?
on boit,we drinken / men drinkt
plein de,een heleboel / heel veel
elle connaît,zij kent / ze kent
Tu vois?,Zie je? / Zie jij?
un gâteau,een koekje / een gebakje
beaucoup de monde,veel mensen
une bonne affaire,een koopje
le survêtement,het trainingspak
Vous entendez bien.,U hoort het goed. / Jullie horen het goed.
avoir de la chance,geluk hebben
un magasin d’animaux,een dierenwinkel
Tu n’es pas sérieuse!,Dat meen je niet! / Jij bent niet serieus! / Je bent niet serieus!
prends soin de,verzorg / zorg / zorg voor
gros / grosse,dik
un bisou,een kusje / een kus / een zoen / een zoentje
la mairie,het stadhuis / het gemeentehuis
après,na / erna / daarna
d’habitude,gewoonlijk / normaal gesproken
le mariage civil,het burgerlijk huwelijk
un château,een kasteel
au bord de,aan de oever / aan de oever van / aan de rand van
Ils sont d’accord.,Ze zijn het er mee eens. / Zij zijn het er mee eens.
bleu foncé,donkerblauw
Je ne sais pas encore.,Ik weet het nog niet.
C’est tendance.,Dat is in de mode. / Dat is de mode.
Je voudrais bien,Ik zou graag willen
quand même,toch
dommage,jammer
je prends,ik neem
de taal,la langue
de vriendin,la copine / l'amie
mijn koffer,ma valise
ik heb gelegd,j’ai mis
vervangen,remplacer
iedere week,chaque semaine
langsgaan,passer
naar de stad,en ville
dragen,porter
boodschappen doen,faire des courses
kopen,acheter
Waarom?,Pourquoi?
omdat,parce que
de dag,le jour
vroeg,tôt
Het is mooi weer!,Il fait beau!
blijven,rester
snel,vite
de middag,l’après-midi
de grootmoeder,la grand-mère
vragen,demander
een uur,une heure
het huiswerk,les devoirs
een kind,un enfant
een jurk,une robe
kort,court / courte
s avonds,le soir
geven,donner
de grootvader,le grand-père
blij,content / contente
bestellen,commander
op internet,en ligne / sur Internet
goedkoop,bon marché
een jack,un blouson
de verkoper,le vendeur
het spijt me,je regrette
te,trop
duur,cher / chère
Wil je het witte petje?,Tu veux la casquette blanche?
Wil je de zwarte schoenen?,Tu veux les chaussures noires?
"Wilt u de rode jurk, mevrouw?","Vous voulez la robe rouge, madame?"
"Ja, ik wil het witte petje.","Oui, je veux la casquette blanche."
"Nee, ik wil de zwarte schoenen niet.","Non, je ne veux pas les chaussures noires."
"Ja, ik wil de rode jurk.","Oui, je veux la robe rouge."
Il me va bien.,Dat staat me goed.
Elle me va bien.,Dat staat me goed.
Il te va bien.,Dat staat je goed.
Elle te va bien.,Dat staat je goed.
C'est chouette.,Dat is leuk.
C'est moche.,Dat is lelijk.
C'est bon marché.,Dat is goedkoop.
C’est cher.,Dat is  duur.
C'est à la mode.,Dat is in de mode.
J’aime bien la coupe.,Ik vind het model wel leuk.
Tu n'aimes pas la couleur.,Jij vindt de kleur niet leuk.
C’est trop grand.,Het is te groot.
C'est trop petit.,Het is te klein.
Je peux essayer le blouson?,Kan ik het jack passen?
Le blouson existe aussi en noir?,Is het jack er ook in het zwart?
Il coûte combien?,Hoeveel kost het?
J’achète mes vêtements chez Adidas.,Ik koop mijn kleren bij Adidas.
J’achète mes vêtements en ligne.,Ik koop mijn kleren op internet.
la buvette,de bar
la voie,de richting
"J’ai pas envie!, Je n’ai pas envie!",Ik heb geen zin!
j’ai oublié,ik ben vergeten / ik heb vergeten
en calcul,in rekenen
se lever tôt,vroeg opstaan
il fait froid,het is koud / het is koud weer
avant le repas,voor het eten / voor de maaltijd
deux heures de colle,twee uur nablijven
monter le son,het geluid harder zetten
comme d’habitude,zoals gewoonlijk
fêter,vieren
avoir le temps,de tijd hebben
tous les week-ends,ieder weekend / elk weekend
jusqu’à,tot aan
nul / nulle,zeer slecht
une surprise,een verrassing
les gars,de jongens
franchement,eerlijk gezegd
être bavard,praatziek zijn / een kletskous zijn
Vous connaissez?,Kent u? / Kennen jullie?
l’intersection,de kruising / het kruispunt
sûr,zeker
la piscine municipale,het gemeentelijk zwembad
le petit-déjeuner,het ontbijt
un cochon,een varken
un singe,een aap
Fiche le camp!,Hoepel op!
un escargot,een slak
les horaires d’ouverture,de openingstijden
Tu viens?,Kom je? / Kom jij?
je sais,ik weet het / ik weet
chaque,iedere / elke
c’était,het was
le lycée,de middelbare school (bovenbouw) / de middelbare school / bovenbouw van de middelbare school
On va chez Louis.,We gaan naar Louis thuis. / We gaan naar Louis.
De chez toi?,Vanaf jouw huis?
de zoon,le fils
de zomer,l’été
werken,travailler
een schrift,un cahier
ik heb begrepen,j’ai compris
Duits,l’allemand
de pauze,la récré / la récréation
een les,un cours
de overhoring,l’interro / l'interrogation
Engels,l’anglais
de geschiedenis,l’histoire
de grootouders,les grands-parents
op tijd komen,arriver à l’heure
belangrijk,important
stop met / stop,arrête / arrête de
het drumstel,la batterie
wiskunde,les maths
Neem me niet kwalijk.,Je m’excuse.
Wacht!,Attendez!
jullie nemen,vous prenez
volgende,prochain
rechtsaf / rechts,à droite
Het is ver.,C’est loin.
te laat,en retard
nu,maintenant
Hoe laat is het?,Quelle heure est-il?
niet … meer,ne … plus
te zwaar / te moeilijk,trop dur
Wat afschuwelijk!,Quelle horreur!
bezoeken,visiter
een station,une gare
Hoe laat?,À quelle heure?
Geen probleem!,Pas de problème!
Een goed idee!,Une bonne idée!
rechtdoor,tout droit
tot het eind van,jusqu’au bout de
linksaf,à gauche
rechtsaf,à droite
tot straks,à tout à l’heure
Het is één uur.,Il est une heure.
Het is twee uur.,Il est deux heures.
Het is drie uur.,Il est trois heures.
Het is elf uur.,Il est onze heures.
Het is twaalf uur ’s middags.,Il est midi.
Het is twaalf uur ’s nachts.,Il est minuit.
Het is half twee.,Il est une heure et demie.
Het is half drie.,Il est deux heures et demie.
Het is half vier.,Il est trois heures et demie.
Het is half twaalf.,Il est onze heures et demie.
Het is half één ’s middags.,Il est midi et demi.
Het is half één ’s nachts.,Il est minuit et demi.
Hoe laat …?,À quelle heure …?
om twaalf uur ‘s middags,à midi
om één uur,à une heure
om half één ‘s nachts,à minuit et demi
om half vier,à trois heures et demie
Ik ga naar school om acht uur.,Je vais à l’école à huit heures.
De eerste les begint om half negen.,Le premier cours commence à huit heures et demie.
De pauze begint om tien uur.,La récréation commence à dix heures.
Om twaalf uur ga ik naar de kantine.,"À midi, je vais à la cantine."
Ik heb pauze van twaalf uur tot half twee.,Je suis libre de midi à une heure et demie.
De pauze eindigt om half twee.,La récréation finit à une heure et demie.
Ik ga om vijf uur naar huis.,Je rentre à la maison à cinq heures.
Ik ga met de fiets.,Je vais en vélo.
Jij gaat met de motor.,Tu vas en moto.
Damien gaat met de trein.,Damien va en train.
Julie gaat met het vliegtuig.,Julie va en avion.
Luigi gaat met de scooter.,Luigi va en scooter.
Zij gaan met de metro.,Ils vont en métro.
Wij gaan met de auto.,Nous allons en voiture.
Jullie gaan met de bus.,Vous allez en bus.
De spelers gaan met de bus.,Les joueurs vont en car.
De toeristen gaan met de boot.,Les touristes vont en bateau.
De leerlingen gaan lopend.,Les élèves vont à pied.
"Pardon, mevrouw, hoe kom ik naar het station?","Pardon, madame, la gare s’il vous plaît?"
"Pardon, meneer, hoe kom ik naar het station?","Pardon, monsieur, la gare s’il vous plaît?"
Eerst …,D’abord …
Dan …,Puis …
Vervolgens …,Ensuite …
Daarna,Après
Ten slotte …,Enfin …
Het is niet ver.,Ce n'est pas loin.
Het is dichtbij.,C’est tout près.
Het is rechtdoor.,C’est tout droit.
U loopt / rijdt door.,Vous continuez.
U gaat rechtsaf.,Vous allez à droite.
Jullie gaan linksaf.,Vous allez à gauche.
Je gaat rechtdoor.,Tu vas tout droit.
De dagen van de week,Les jours de la semaine
maandag,lundi
dinsdag,mardi
woensdag,mercredi
donderdag,jeudi
vrijdag,vendredi
"op zondag, 's zondags, iedere zondag",le dimanche
De maanden van het jaar,Les mois de l’année
januari,janvier
maart,mars
april,avril
mei,mai
juni,juin
juli,juillet
augustus,août
september,septembre
oktober,octobre
november,novembre
december,décembre
les jumelles,de tweelingzusjes / de tweeling / de tweelingzussen
conduire,autorijden
elle écrit,zij schrijft / ze schrijft
le responsable / la responsable,de leidinggevende / de verantwoordelijke
un cornichon,een augurk
On n’avait rien oublié!,We hadden niets vergeten!
sans s’arrêter,zonder te stoppen / zonder stoppen
un panier,een mand / een mandje
rentrer,weer naar huis gaan / terug naar huis gaan
la moutarde,de mosterd
un oeuf dur,een hardgekookt ei / een hard ei
la crèmerie,de zuivelwinkel / de zuivelafdeling
un gros morceau,een groot stuk / een dik stuk
Pas trop fait?,Niet te rijp?
un camembert coulant,een zachte camembert
une fermière,een boerin
un village,een dorp
un crottin de chèvre,een geitenkaasje
Je me trompe.,Ik vergis me.
l’huile d’olive,de olijfolie
le meilleur glacier,de beste ijsbereider / de beste ijscoman / de beste ijsboer
dans une demi-heure,over een half uur
plein / pleine,vol
prêt / prête,klaar
je souris,ik glimlach
la commande,de bestelling
poli / polie,beleefd
Marche doucement!,Loop langzaam!
Au boulot!,Aan het werk!
un rôti de veau,een kalfsrollade
La honte!,Wat een schande!
un plat,een gerecht / een schotel
la viande,het vlees
le persil,de peterselie
les épices,de specerijen / de kruiden
extraordinaire,buitengewoon / buitengewoon lekker / bijzonder
l’odeur,de geur
une cuillère,een lepel
une goutte,een druppel
une casserole,een pan
faire dorer,goudbruin laten worden / goudbruin laten kleuren
le ticket de caisse,de kassabon / de bon / het bonnetje
la crème,de vla / de room
la pâtisserie,het gebakje / het gebak / de banketbakkerij
le parfum,de smaak / de smaak van ijs / de ijssmaak
pas besoin de,niet nodig
Nous voilà!,Daar zijn we dan! / We zijn er!
aux pruneaux,met gedroogde pruimen
aux légumes,met groenten
au supermarché,in de supermarkt / naar de supermarkt
Tu veux bien?,Wil je wel? / Wil jij wel?
ce soir,vanavond
je dois,ik moet
assez de fruits,genoeg fruit / genoeg vruchten
deelnemen,participer
koken,faire la cuisine
de kokkin,la cuisinière
de echtgenoot,le mari
een fles,une bouteille
een blikopener,un ouvre-boîte
de regen,la pluie
eten,manger
de jam,la confiture
de boter,le beurre
een maaltijd,un repas
ik zou graag willen,je voudrais / j'aimerais
uitvinden,inventer
iets anders,autre chose
een ijsje,une glace
geld,de l’argent
een glas,un verre
een karaf rode wijn,un pichet de vin rouge / une carafe de vin rouge
water zonder prik,de l'eau plate
water met prik,de l’eau pétillante
enkele minuten,quelques minutes
later,plus tard
het dienblad,le plateau
opmerken,remarquer
de verjaardag,l’anniversaire
de oom,l’oncle
vertellen,raconter
gebruiken,utiliser
de suiker,le sucre
het zout,le sel
de peper,le poivre
toevoegen,ajouter
zich bevinden,se trouver
het toetje,le dessert
de lunch,le déjeuner
de portemonnee,le portemonnaie
het raam,la fenêtre
hetzelfde,la même chose
de aardbei,la fraise
Hoeveel tomaten?,Combien de tomates?
een plak ham,une tranche de jambon
een appel,une pomme
alsjeblieft (als je iets geeft) / alsjeblieft,voilà
alsjeblieft (in vraag) / alsjeblieft,s’il te plaît
Ik ga naar de markt.,Je vais au marché.
Ik ga naar de supermarkt.,Je vais au supermarché.
Ik ga naar het restaurant.,Je vais au restaurant.
Ik ga naar school.,Je vais à l’école.
Ik ga naar het ziekenhuis.,Je vais à l’hôpital.
Ik ga naar de bakker.,Je vais à la boulangerie.
Ik ga naar het postkantoor.,Je vais à la poste.
Ik ga naar het station.,Je vais à la gare.
Wat wilt u hebben?,Vous désirez?
Hoeveel appels?,Combien de pommes?
Anders nog iets?,Et avec ça?
Is dat alles?,C’est tout?
Er zijn geen aardbeien.,Il n’y a pas de fraises.
Dat is 8 euro 50.,Ça fait 8 euros 50.
Ik geef u 1 euro 50 terug.,Et voilà 1 euro 50.
"Nog een fijne dag, mevrouw.","Bonne journée, madame."
"Appels, alstublieft.","Des pommes, s’il vous plaît."
Twee kilo appels.,Deux kilos de pommes.
Twee flessen water met prik,Deux bouteilles d’eau pétillante.
Een bakje aardbeien.,Une barquette de fraises.
"Ja, dat is alles.","Alors, c’est tout."
Hoeveel is het?,C’est combien?
"Alstublieft, 10 euro.",Voilà 10 euros.
"Dank u wel, meneer.","Merci, monsieur."
"Tot ziens, meneer.","Au revoir, monsieur."
Het is erg lekker.,C’est très bon.
Het is heerlijk.,C’est délicieux.
Ik houd hier erg van.,J’aime beaucoup ça.
Daar ben ik dol op.,J’adore ça.
Het is niet lekker.,Ce n’est pas bon.
Het is vies.,C’est mauvais.
Ik houd er helemaal niet van.,Je n’aime pas du tout ça.
Je moet / jullie moeten / men moet brood kopen!,Il faut acheter du pain!
Er zijn vier of vijf appels nodig.,Il faut quatre ou cinq pommes!
faire du théâtre,toneelspelen
faire du doublage,inspreken / inspreken (in landstaal)
une pub,een reclamespotje / een reclame
il suit (suivre) / il suit,hij volgt
des cours de théâtre,toneellessen
avoir lieu,plaatsvinden / plaatshebben
assister à,bijwonen
le port,de haven
fatigant,vermoeiend
voir,zien
il a commencé,hij is begonnen
une bonne tête,een goed hoofd
avoir envie de,zin hebben om / zin hebben in
je pars pour,ik vertrek naar
Tu es gâté!,Jij wordt verwend! / Jij bent verwend!
un nuage,een wolk
une grosse vague,een grote golf
Ne perds pas,Verlies niet
un bain de mer,een duik in zee
la fraîcheur,de frisheid
vous pouvez,jullie kunnen / u kunt
accompagné,begeleid
se balader,rondwandelen / wandelen
j’ai traversé,ik ben gegaan door / ik ben gelopen door
un agent de sécurité,een veiligheidsbeambte / een veiligheidsagent
j’ai répondu,ik heb geantwoord
il a pris,hij heeft genomen
il a mis,hij heeft gelegd / hij heeft gezet
un panneau solaire,een zonnepaneel
le tapis,de bagageband
être climatisé,airconditioning hebben / airco hebben
faire du bruit,lawaai maken
décoller,opstijgen
avoir droit à,recht hebben op
faire de son mieux,zijn best doen / haar best doen
rendre agréable,aangenaam maken
le hublot,het vliegtuigraampje / het raampje
un retard,een vertraging
il a dit,hij heeft gezegd
le vol,de vlucht
venir chercher,ophalen / afhalen
le mineur,de minderjarige
assez,tamelijk / nogal
une escale,een tussenlanding / een tussenstop
une balade,een wandeling / een tochtje
un chameau,een kameel
een tekenfilm,un dessin animé
Het is warm weer.,Il fait chaud.
de sneeuw,la neige
de week,la semaine
gisteren,hier
doorbrengen,passer
vanmiddag,cet après-midi
geluk hebben,avoir de la chance
het strand,la plage
tijdens,pendant
Ik zou graag,J’aimerais bien
morgenochtend,demain matin
een zwembroek / een badpak,un maillot de bain
binnenkort,bientôt
laten zien,montrer
denken aan,penser à
Beweeg niet meer!,Ne bouge plus!
Blijf staan!,Reste debout!
Ik voel me,Je me sens
het geluk,le bonheur
de reis,le voyage
laatste,dernier / dernière
helemaal niet,ne … pas du tout
alleen,seul / seule
niets speciaals,rien de special
het voorwerp,l’objet
een vuilnisbak,une poubelle
nog niet,ne … pas encore
het dak,le toit
de oorzaak,la cause
een kunstwerk,une oeuvre
dankzij,grâce à
per jaar,par an
de aarde,la terre
van bovenaf,d’en haut
deze week,cette semaine
het weer,le temps
het schema,la grille
de wind,le vent
reizen,voyager
over een week,dans une semaine
naar huis gaan,rentrer
het vertrek,le départ
de aankomst,l’arrivée
verliefd,amoureux / amoureuse
Ik begrijp het.,Je comprends.
dit jaar,cette année
een nacht,une nuit
vorig jaar,l’année derniere
"Wat doe je, Damien?","Qu’est-ce que tu fais, Damien?"
Ik surf.,Je fais de la planche à voile.
Wat doen jullie?,Qu’est-ce que vous faites?
Wij maken muziek.,Nous faisons de la musique.
Wat doet u?,Qu’est-ce que vous faites?
Ik maak muziek.,Je fais de la musique.
Wat voor weer is het?,Quel temps fait-il?
Wat voor weer was het?,Quel temps faisait-il?
Het is  mooi weer.,Il fait  beau.
Het was mooi weer.,Il  faisait beau.
Het is slecht weer.,Il fait  mauvais.
Het was slecht weer.,Il faisait mauvais.
Het was warm weer.,Il faisait chaud.
Het is koud.,Il fait froid.
Het was koud.,Il faisait froid.
Het is min tien.,Il fait moins 10.
Het was min tien.,Il faisait moins 10.
Het is zonnig.,Il fait  du soleil.
Het was zonnig.,Il faisait du soleil.
Het waait.,Il fait du vent.
Het waaide.,Il faisait du vent.
Het regent.,Il pleut.
Het regende.,Il pleuvait.
Het sneeuwt.,Il neige.
Het sneeuwde.,Il neigeait.
Het is bewolkt.,Il y a des nuages.
Het was bewolkt.,Il y avait des nuages.
Er zijn buien.,Il y a des averses.
Er waren buien.,Il y avait des averses.
Er zijn onweersbuien.,Il y a des orages.
Er waren onweersbuien.,Il y avait des orages.
Het is lente.,C’est le printemps.
Het was lente.,C’était le printemps.
Het is zomer.,C’est l’été.
Het was zomer.,C’était l’été.
Het is  herfst.,C’est l’automne.
Het was herfst.,C’était l’automne.
Het is winter.,C’est l’hiver.
Het was winter.,C’était l’hiver.
in de lente,au printemps
in de zomer,en été
in de herfst,en automne
in de winter,en hiver
Het is 16.00 uur.,Il est quatre heures.
Het is 16.05 uur.,Il est quatre heures cinq.
Het is 16.10 uur.,Il est quatre heures dix.
Het is 16.15 uur.,Il est quatre heures et quart.
Het is 16.20 uur.,Il est quatre heures vingt.
Het is 16.25 uur.,Il est quatre heures vingt-cinq.
Het is 16.30 uur.,Il est quatre heures et demie.
Het is 16.35 uur.,Il est cinq heures moins vingt-cinq.
Het is 16.40 uur.,Il est cinq heures moins vingt.
Het is 16.45 uur.,Il est cinq heures moins le quart.
Het is 16.50 uur.,Il est cinq heures moins dix.
Het is 16.55 uur.,Il est cinq heures moins cinq.
Het is 17.00 uur.,Il est cinq heures.
Ik ga naar Frankrijk.,Je vais en France.
Ik ga naar Duitsland.,Je vais en Allemagne.
